Hanzi	Definition	Pinyin	Pinyin2	HSK	Formation	Examples
崖	cliff, precipice, precipitous	yá		6	Pictophonetic - Mountain 山 suggests the meaning while 厓 provides the pronunciation.	悬崖[xuányá]: precipice, overhanging cliff<br>山崖[shānyá]: cliff<br>悬崖勒马[xuányálèmǎ]: lit. to rein in the horse at the edge of the precipice, fig. to act in the nick of time
骄	proud, arrogant, spirited horse, haughty	jiāo		4	Pictophonetic - Horse 马 suggests the meaning while 乔 provides the pronunciation.	骄傲[jiāoào]: pride, arrogance, conceited, proud of something<br>天之骄子[tiānzhījiāozi]: person specially favored by heaven<br>骄阳[jiāoyáng]: blazing sun
刹	temple, shrine, monastary, a brief moment, to brake	chà	shā	6	Pictophonetic - Knife 刂 suggests the meaning while 杀 provides the pronunciation.	刹车[shāchē]: to brake (when driving), to stop, to switch off, to check (bad habits), a brake<br>刹那[chànà]: an instant (Sanskrit: ksana), split second, the twinkling of an eye<br>一刹那[yīchànà]: an instant, tick
鞭	a whip or lash, to flog, to whip	biān		5	Pictophonetic - Leather 革 suggests the meaning while 便 provides the pronunciation.	鞭炮[biānpào]: firecracker<br>鞭策[biāncè]: urge on<br>鞭子[biānzǐ]: whip
芒	awn, beard, arista (of cereals, blade, etc.)	máng		6	Pictophonetic - A plant 艹 with die 亡 (phonetic)	光芒[guāngmáng]: rays of light, brilliant rays, radiance<br>芒果[mángguǒ]: mango<br>锋芒[fēngmáng]: tip (of pencil, spear etc), sharp point, cutting edge, spearhead
筋	muscles, tendons	jīn		6	Pictophonetic - Bamboo 竹 suggests the meaning while 肋 provides the pronunciation.	伤脑筋[shāngnǎojīn]: knotty, troublesome, bothersome<br>抽筋[chōujīn]: a cramp, charley horse, to pull a tendon<br>筋疲力尽[jīnpílìjìn]: body weary, strength exhausted, extremely tired, spent
聘	to engage, to employ, to hire, to betroth	pìn		4	Pictophonetic - Ear 耳 suggests the meaning while 甹 provides the pronunciation.	应聘[yìngpìn]: to accept a job offer, to apply for an advertised position<br>招聘[zhāopìn]: recruitment, to invite applications for a job<br>聘用[pìnyòng]: to employ, to hire
钩	hook, barb, sickle, to hook	gōu		6	Pictophonetic - metal 钅 suggests the meaning while 勾 provides the pronunciation.	钩子[gōuzi]: hook<br>上钩[shànggōu]: to take the bait<br>挂钩[guàgōu]: to couple, to link together, to establish contact with, hook, coupling links (e.g. between two railway coaches)
棍	stick, cudgel, scoundrel	gùn		6	Pictophonetic - Wood 木 suggests the meaning while 昆 provides the pronunciation.	棍棒[gùnbàng]: club<br>冰棍[bīnggùn]: popsicle<br>恶棍[ègùn]: scoundrel, rogue, bully, villain
嚷	blurt out, to shout	rǎng		6	Pictophonetic - Mouth 口 suggests the meaning while 襄 provides the pronunciation.	叫嚷[jiàorǎng]: to shout, to bellow one's grievances<br>吵嚷[chǎorǎng]: to make a racket, clamour, uproar<br>吵吵嚷嚷[chǎochǎorǎngrǎng]: to quarrel, make lots of noise
腺	gland	xiàn			Pictophonetic - Flesh 月 suggests the meaning while 泉 provides the pronunciation.	乳腺癌[rǔxiànái]: breast cancer<br>前列腺[qiánlièxiàn]: prostate<br>甲状腺[jiǎzhuàngxiàn]: thyroid gland
弦	bow string, string of musical instrument, watchspring, chord (segment of curve)	xián		6	Pictophonetic - Bow 弓 suggests the meaning while 玄 provides the pronunciation	弦乐[xiányuè]: string music<br>心弦[xīnxián]: heartstrings<br>扣人心弦[kòurénxīnxián]: to excite, to thrill, exciting, thrilling, cliff-hanging
焰	flame, blaze, glowing, blazing	yàn		6	Pictophonetic - Fire 火 suggests the meaning while 臽 provides the pronunciation.	火焰[huǒyàn]: blaze, flame<br>焰火[yànhuǒ]: fireworks<br>嚣张气焰[xiāozhāngqìyàn]: overweening attitude, threatening manner
耍	to frolic, to play, to amuse, to play with	shuǎ		6	Ideograph - Woman 女 plays with beard 而	杂耍[záshuǎ]: a sideshow, vaudeville<br>玩耍[wánshuǎ]: to enjoy oneself, an entertainment, to play (of children)<br>耍花招[shuǎhuāzhāo]: to play tricks on somebody
俯	bow down, face down, look down, stoop	fǔ		6	Pictophonetic - Person 亻 suggests the meaning while 府 provides the pronunciation.	俯视[fǔshì]: to overlook, to look down at<br>俯卧撑[fǔwòchēng]: press-up (physical exercise), push-up<br>俯冲[fǔchōng]: to dive down fast, to swoop down
厘	one thousandth	lí		5	Pictophonetic - Cliff 厂 suggests the meaning while 里 provides the pronunciation.	厘米[límǐ]: centimeter
愣	dumbfounded, agape with horror, stupefied, distracted	lèng		6		发愣[fālèng]: to daydream, in a daze<br>愣头愣脑[lèngtóulèngnǎo]: rash, impetuous, reckless<br>直愣愣[zhílènglèng]: staring blankly
厦	big building, mansion, Xiamen (厦门 also known as Amoy) in Fujian province.	shà	xià	5	Pictophonetic - Building 厂 suggests the meaning while 夏 provides the pronunciation.	大厦[dàshà]: mansion, high buildings<br>高楼大厦[gāolóudàshà]: tall buildings and large mansions, high-rise apartment building<br>上海大厦[shànghǎidàshà]: Broadway Mansions (famous hotel in Shanghai)
恳	sincere, earnest, cordial	kěn		5	Pictophonetic - Heart 心 suggests the meaning while 艮 provides the pronunciation.	诚恳[chéngkěn]: sincere, honest, cordial<br>恳切[kěnqiè]: earnest, sincere<br>恳求[kěnqiú]: to beg, to beseech, to entreat, entreaty
饶	bountiful, abundant, plentiful	ráo		6	Pictophonetic - Abundant food. Food 饣 suggests the meaning while 尧 provides the pronunciation.	饶恕[ráoshù]: to forgive, to pardon, to spare<br>求饶[qiúráo]: to beg forgiveness<br>饶舌[ráoshé]: talkative, to blather, to shoot one's mouth off, rap (genre of music)
钉	nail, spike, tack, to nail, spiked	dīng	dìng	6	Pictophonetic - metal 钅with the phonetic component 丁	斩钉截铁[zhǎndīngjiétiě]: to chop the nail and slice the iron, resolute and decisive, unhesitating, definitely, without any doubt<br>钉子[dīngzi]: nail, snag<br>图钉[túdīng]: thumbtack
寡	few, widowed, alone, friendless	guǎ			Pictophonetic - Room 宀 suggests the meaning while ? provides the pronunciation.	寡妇[guǎfu]: widow<br>优柔寡断[yōuróuguǎduàn]: indecisive, irresolute<br>守寡[shǒuguǎ]: to live as widow, to observe widowhood
憾	to regret, remorse, dissatisfied	hàn		5	Pictophonetic - Heart 忄 suggests the meaning while 感 provides the pronunciation.	遗憾[yíhàn]: regret, to regret, to be sorry that<br>憾事[hànshì]: a matter for regret, something that is a (great) pity<br>引以为憾[yǐnyǐwéihàn]: to consider something regrettable
摔	to throw on ground, to fall, to stumble, to trip	shuāi		5	Pictophonetic - Hand 扌 suggests the meaning while 率 provides the pronunciation.	摔倒[shuāidǎo]: to fall down, to slip and fall, a throw (in wrestling)<br>摔跤[shuāijiāo]: to trip and fall, wrestling (sports)<br>摔跟头[shuāigēntou]: to fall, fig. to suffer a setback
叠	to layer, to fold over in layers, to repeat, duplicate, repetitious	dié		6	Ideograph - Three hands 又 overlap on top 冖 of a bench 且	重叠[chóngdié]: overlap<br>折叠[zhédié]: fold<br>叠加[diéjiā]: superposition, layering, overlay
惹	irritate, vex, offend, incite, to provoke	rě		6	Pictophonetic - heart 心 suggests the meaning while 若 provides the pronunciation.	惹祸[rěhuò]: stirring up trouble, to invite disaster<br>惹事[rěshì]: to cause trouble<br>惹恼[rěnǎo]: to offend
喻	metaphor, analogy, example, like	yù		6	Pictophonetic - Mouth 口 suggests the meaning while 俞 provides the pronunciation.	不言而喻[bùyánéryù]: it goes without saying, it is self-evident<br>家喻户晓[jiāyùhùxiǎo]: understood by everyone, well known, a household name<br>比喻[bǐyù]: metaphor, analogy, figure of speech, figuratively
谱	chart, list, score (music), spectrum (math.), to compose (music)	pǔ		6	Pictophonetic - Speech讠 suggests the meaning while 普 provides the pronunciation.	乐谱[yuèpǔ]: a musical score, sheet music<br>离谱[lípǔ]: excessive, beyond reasonable limits, irregular<br>菜谱[càipǔ]: menu (in restaurant), recipe, cookbook
愧	ashamed, conscience-stricken	kuì		5	Pictophonetic - Heart忄 suggests the meaning while 鬼 provides the pronunciation.	惭愧[cánkuì]: ashamed<br>不愧[bùkuì]: be worthy of, deserve to be called, prove oneself to be<br>羞愧[xiūkuì]: ashamed
煌	bright, shining, luminous	huáng		6	Pictophonetic - Fire 火 suggests the meaning while 皇 provides the pronunciation.	辉煌[huīhuáng]: splendid, glorious<br>敦煌[dūnhuáng]: Dunhuang (a major city in Gansu province)<br>金碧辉煌[jīnbìhuīhuáng]: gold and jade in glorious splendor, fig. a dazzling sight (e.g. royal palace)
徽	badge, emblem, insignia, crest, logo	huī			Pictophonetic - Steps 彳 suggests the meaning while the rest of the character provides the pronunciation.	徽章[huīzhāng]: badge, emblem, insignia, crest, logo<br>安徽[ānhuī]: Anhui province<br>徽记[huījì]: crest, insignia
溶	to melt, to dissolve	róng		6	Pictophonetic - Water 氵 suggests the meaning while 容 provides the pronunciation.	溶解[róngjiě]: dissolve, solution<br>溶入[róngrù]: to dissolve in<br>溶剂[róngjì]: solvent
坠	to fall, to drop, to weigh down, to sink, to go to ruin	zhuì		6	Pictophonetic - Ground 土 suggests the meaning while 队 provides the pronunciation.	坠入[zhuìrù]: to drop into, to fall into<br>坠机[zhuìjī]: airplane crash<br>坠毁[zhuìhuǐ]: plane crash
煞	malignant deity, baleful, noxious, strike dead, to terminate	shā	shà		Pictophonetic - Fire 灬 suggests the meaning while the top part provides the pronunciation.	凶神恶煞[xiōngshénèshà]: fiends, devils and monsters<br>煞费苦心[shàfèikǔxīn]: to take a lot of trouble, painstaking, at the cost of a lot of effort<br>煞风景[shāfēngjǐng]: to damage beautiful scenery, fig. to spoil the fun
巾	kerchief, towel, turban, KangXi radical number 50	jīn		4	Pictograph - picture of a hanging towel	毛巾[máojīn]: towel<br>围巾[wéijīn]: scarf, shawl<br>头巾[tóujīn]: head-covering (for men in ancient clothes), kerchief, scarf, turban
滥	to flood, to overflow, excessive	làn		6	Pictophonetic - Water 氵 suggests the meaning while 监 provides the pronunciation.	泛滥[fànlàn]: to be in flood, to overflow (the banks), to inundate, to spread unchecked<br>滥用[lànyòng]: to abuse<br>陈词滥调[chéncílàndiào]: cliché, commonplace, truism, stereotype
洒	to sprinkle, to spray, to spill, to shed, scatter	sǎ		5	Pictophonetic - Water 氵 suggests the meaning while 西 provides the pronunciation.	潇洒[xiāosǎ]: natural and unrestrained (of a person's appearance, demeanor, carriage), elegant and unconventional<br>喷洒[pēnsǎ]: to spray, to sprinkle<br>挥洒[huīsǎ]: to sprinkle, to shed (tears, blood etc), fig. free, unconstrained
堵	stop up, wall, stop, prevent, clogged	dǔ		4	Pictophonetic - Mud 土 suggests the meaning while 者 provides the pronunciation.	堵车[dǔchē]: traffic jam, choking<br>堵塞[dǔsè]: to block, to stop, blockage<br>堵住[dǔzhù]: to block up
瓷	crockery, porcelain, chinaware, china	cí		6	Pictophonetic - Tile 瓦 suggests the meaning while 次 provides the pronunciation.	陶瓷[táocí]: pottery and porcelain, ceramics<br>瓷器[cíqì]: chinaware, porcelain<br>瓷砖[cízhuān]: porcelain, ceramic
咒	curse, damn, incantation	zhòu			Pictophonetic - Mouth 口 suggests the meaning while 几 provides the pronunciation.	诅咒[zǔzhòu]: to curse<br>咒骂[zhòumà]: to damn, to curse, to revile<br>赌咒[dǔzhòu]: to vow
姨	mother's sister, aunt	yí		3	Pictophonetic - Woman 女 suggests the meaning while 夷 provides the pronunciation.	阿姨[āyí]: auntie, nurse (in a family)<br>姨妈[yímā]: (coll.) mother's sister, maternal aunt<br>姨丈[yízhàng]: mother's sister's husband, husband of mother's sister
棒	a stick, club or cudgel, smart, capable, strong	bàng		4	Pictophonetic - Wood 木 suggests the meaning while 奉 provides the pronunciation.	棍棒[gùnbàng]: club<br>棒球[bàngqiú]: baseball<br>棒子[bàngzi]: stick, club, cudgel, maize (corn), ear of maize
郡	administrative division, county, region	jùn			Pictophonetic - Town 阝 suggests the meaning while 君 provides the pronunciation.	
浴	bathe, wash, bath	yù		6	Pictophonetic - Water 氵 suggests the meaning while 谷 provides the pronunciation.	沐浴[mùyù]: to take a bath, to bathe, to immerse<br>浴室[yùshì]: bath-room, bathroom, shower room, public bathhouse<br>浴缸[yùgāng]: bathtub
媚	charming, attractive, to flatter, to charm, charm	mèi			Pictophonetic - Lady 女 suggests the meaning while 眉 provides the pronunciation.	明媚[míngmèi]: bright and beautiful<br>妩媚[wǔmèi]: lovely, charming<br>谄媚[chǎnmèi]: to flatter
稣	to revive, to rise again, to collect	sū			Pictophonetic - Grain 禾 suggests the meaning while 鱼 provides the pronunciation.	耶稣[yēsū]: Jesus<br>耶稣基督[yēsūjīdū]: Jesus Christ
淮	name of a river	huái			Pictophonetic - Water 氵 suggests the meaning while 肴 provides the pronunciation.	淮河[huáihé]: Huaihe River (a main river between the Yellow River and the Changjiang)
哎	(interjection) hey!, look out!, why? etc	āi		5	Pictophonetic - Mouth 口 suggests the meaning while 艾 provides the pronunciation.	哎呀[āiya]: oh<br>哎哟[āiyō]: hey, ow, ouch, interjection of pain or surprise<br>哎呦[āiyōu]: ouch!, whoops!
屁	to break wind, to fart, buttocks	pì		6	Pictophonetic - Body 尸 suggests the meaning while 比 provides the pronunciation.	屁股[pìgu]: buttocks, bottom, butt, back part<br>放屁[fàngpì]: to fart, to break wind, to talk nonsense, Utter rubbish!<br>狗屁[gǒupì]: bullshit, nonsense
漆	varnish, lacquer, to paint	qī		6	Pictophonetic - Water 氵 suggests the meaning while 桼 provides the pronunciation.	油漆[yóuqī]: oil paint, lacquer, to paint<br>喷漆[pēnqī]: to spray paint or lacquer, lacquer<br>漆黑[qīhēi]: pitch-black
淫	obscene, licentious, excessive, wanton, lewd	yín			Pictophonetic - Water 氵 suggests the meaning while 爫壬 provides the pronunciation.	淫秽[yínhuì]: nasty, obscene<br>奸淫[jiānyín]: fornication, adultery, rape, seduction<br>淫亵[yínxiè]: obscene
巢	nest, living quarter in tree	cháo		6	Pictograph - Picture of a nest 巛田 on top of a tree 木	巢穴[cháoxué]: lair, nest, den, hideout<br>卵巢[luǎncháo]: ovary<br>蜂巢[fēngcháo]: beehive, wasp's nest, honeycomb, fig. honeycomb figure
吩	order, command, instruct, leave instructions	fēn		6	Pictophonetic - Mouth 口 with the phonetic compoonent 分 (to divide)	吩咐[fēnfù]: instruct, tell
撰	compose, write, compile	zhuàn			Pictophonetic - Hand 扌 suggests the meaning while 巽 provides the pronunciation.	撰写[zhuànxiě]: to write, to compose<br>撰稿人[zhuàngǎorén]: author (of a manuscript)<br>杜撰[dùzhuàn]: to fabricate, to make something up, invented
啸	roar, howl, scream, whistle	xiào		6	Pictophonetic - Mouth 口 suggests the meaning while 肃 provides the pronunciation.	呼啸[hūxiào]: to whistle, to scream, to whiz<br>海啸[hǎixiào]: tsunami<br>猿啼狼啸[yuántílángxiào]: the howl of a wild beast
滞	sluggish, stagnant, to block up, to obstruct	zhì		6	Pictophonetic - Water 氵 suggests the meaning while 带 provides the pronunciation.	停滞[tíngzhì]: stagnate<br>滞留[zhìliú]: to detain, retention<br>停滞不前[tíngzhìbùqián]: stuck and not moving forward, stagnant, in a rut, at a standstill
玫	rose	méi			Pictophonetic - Jade 王 suggests the meaning while 攵 provides the pronunciation.	玫瑰[méiguì]: rose<br>玫瑰花[méiguīhuā]: rose
硕	great, eminent, large, big	shuò		4	Pictophonetic - Stone 石 suggests the meaning while 页 provides the pronunciation.	硕士[shuòshì]: master's degree, learned person<br>健硕[jiànshuò]: well-built (physique), strong and muscular<br>硕大[shuòdà]: big, huge, massive
钓	to fish, to lure, fishhook	diào		5	Pictophonetic - Metal 钅 hook with phonetic component 勺	垂钓[chuídiào]: angling<br>钓具[diàojù]: fishing tackle<br>钓钩[diàogōu]: fishhook
蝶	butterfly	dié		5	Pictophonetic - Insect 虫 suggests the meaning while 枼 provides the pronunciation.	蝴蝶[húdié]: butterfly<br>蝴蝶结[húdiéjié]: bowknot<br>蝶泳[diéyǒng]: butterfly stroke (swimming)
膝	knee	xī		6	Pictophonetic - Flesh 月 suggests the meaning while 桼 provides the pronunciation.	膝盖[xīgài]: knee<br>护膝[hùxī]: kneepad, knee brace<br>膝下[xīxià]: at the knee (in reference to children), (salutation used in letters to parents or grandparents)
姚	handsome, good-looking, elegant, surname Yao	yáo			Pictophonetic - Lady 女 suggests the meaning while 兆 provides the pronunciation.	
茂	thick, lush, dense, talented, luxuriant	mào		6	Pictophonetic - Grass 艹 indicates the meaning while 戊 provides the sound	茂盛[màoshèng]: lush<br>茂密[màomì]: dense (of plant growth), lush<br>声情并茂[shēngqíngbìngmào]: (of a singer etc) excellent in voice and expression
躯	human body	qū			Pictophonetic - Body 身 suggests the meaning while 区 provides the pronunciation.	身躯[shēnqū]: body<br>躯体[qūtǐ]: the body<br>躯壳[qūqiào]: the body (housing the soul)
吏	minor official	lì			Pictograph - Picture of an ancient official carrying a sword	官吏[guānlì]: a functionary, an office holder<br>吏部[lìbù]: Ministry of Appointments in Imperial China<br>奸官污吏[jiānguānwūlì]: traitor minister and corrupt official, abuse and corruption
猿	ape	yuán			Pictophonetic - Dog 犭 suggests the meaning while 袁 provides the pronunciation.	人猿[rényuán]: orangutan<br>猿人[yuánrén]: ape man<br>猿猴[yuánhóu]: apes and monkeys
寨	stockade, stronghold, outpost	zhài			Pictograph - Picture of a stronghold with a roof 宀 and made of wood 木	柬埔寨[jiǎnpǔzhài]: Cambodia<br>山寨[shānzhài]: fortified hill village, mountain stronghold (esp. of bandits), fig. outside government supervision, evading tax or copyright law, knockoff (goods)<br>九寨沟[jiǔzhàigōu]: Jiuzhaigou Valley, Sichuan, Jiuzhaigou county, Sichuan
恕	forgive, excuse, show mercy	shù		6	Pictophonetic - Heart 心 suggests the meaning while 如 provides the pronunciation.	饶恕[ráoshù]: to forgive, to pardon, to spare<br>宽恕[kuānshù]: forgive, forgiveness<br>恕罪[shùzuì]: please forgive me
渠	ditch, canal, channel, gutter	qú		6	Pictophonetic - Water 氵 and wooden gutter suggest the meaning while 巨 provides the sound	渠道[qúdào]: irrigation ditch, medium or channel of communication<br>水到渠成[shuǐdàoqúchéng]: lit. where water flows, a canal is formed, fig. when conditions are right, success will follow naturally<br>沟渠[gōuqú]: channel, moat, irrigation canal
戚	ashamed, grief, relative, be related to	qī		4	Pictophonetic - Lance 戊 suggests the meaning while 尗 provides the pronunciation.	亲戚[qīnqī]: relative<br>亲戚朋友[qīnqīpéngyǒu]: relatives and friends<br>皇亲国戚[huángqīnguóqī]: the emperor relatives, person with powerful connections
辰	early morning, a time, fortune, luck, 5th earthly branch	chén		6	Pictograph - picture of an ancient hoe	诞辰[dànchén]: birthday<br>时辰[shíchen]: time, one of the 12 two-hour periods of the day<br>星辰[xīngchén]: stars
舶	large ship, ocean-going vessel	bó		6	Pictophonetic - Boat 舟 suggests the meaning while 白 provides the pronunciation.	船舶[chuánbó]: shipping, boats
颁	to promulgate, to send out, to issue, to grant or confer, to publish	bān		6	Pictophonetic - Book leaf 页 suggests the meaning while 分 provides the pronunciation.	颁发[bānfā]: to issue, to promulgate, to award<br>颁布[bānbù]: promulgate, issue<br>颁奖[bānjiǎng]: to award (a medal)
惶	fearful, afraid, anxious, frightened, nervous	huáng			Pictophonetic - Heart 忄 suggests the meaning while 皇 provides the pronunciation.	惶恐[huángkǒng]: terrified<br>人心惶惶[rénxīnhuánghuáng]: anxiety among the people<br>惶惶[huánghuáng]: alarmed, anxious
狐	fox	hú			Pictophonetic - Dog 犭implies the meaning while 瓜 provides the sound	狐狸[húli]: fox, fig. sly and treacherous person<br>狐狸精[húlíjīng]: fox-spirit, vixen , temptress, a seductive woman<br>狐朋狗友[húpénggǒuyǒu]: a pack of rogues, a gang of scoundrels
讽	to chant, to mock, to ridicule	fěng		5	Picotphonetic - Speak 讠 with wind 风 (phonetic)	讽刺[fěngcì]: to satirize, to mock, irony, satire, sarcasm<br>嘲讽[cháofěng]: to sneer at, to ridicule, to taunt<br>冷嘲热讽[lěngcháorèfěng]: frigid irony and scorching satire, to mock and ridicule
笨	stupid, foolish, silly, dull, awkward	bèn		4	Pictophonetic - Bamboo 竹 suggests the meaning while 本 provides the pronunciation.	笨拙[bènzhuō]: clumsy, awkward, stupid<br>笨蛋[bèndàn]: fool, idiot<br>愚笨[yúbèn]: stupid, clumsy
袍	long gown, robe, cloak	páo		6	Pictophonetic - Cloth 衤 suggests the meaning while 包 provides the pronunciation.	旗袍[qípáo]: Chinese-style dress, cheongsam<br>睡袍[shuìpáo]: nightgown<br>长袍[chángpáo]: long gown, robe
嘲	ridicule, deride, scorn, jeer at, mock	cháo		6	Pictophonetic - Mouth 口 suggests the meaning while 朝 provides the pronunciation.	嘲笑[cháoxiào]: jeer, mockery, scoff, sneer, make fun of<br>嘲弄[cháonòng]: to tease, to poke fun at, to make fun of<br>嘲讽[cháofěng]: to sneer at, to ridicule, to taunt
啡	coffee, morphine	fēi		2	Pictophonetic - Mouth 口 suggests the meaning while 非 provides the pronunciation.	咖啡[kāfēi]: coffee<br>吗啡[mǎfēi]: morphine<br>咖啡因[kāfēiyīn]: caffeine
泼	pour, splash, water, sprinkle, to spill	pō		4	Pictophonetic - Spill water 氵. 发 provides the sound	活泼[huópo]: lively, vivacious, brisk, active<br>泼妇[pōfù]: shrew, vixen<br>撒泼[sāpō]: to make an unreasonable scene
衔	to hold in mouth, to bite, to gag, rank, title	xián		6	Pictophonetic - Metal 钅 suggests the meaning while 行 provides the pronunciation.	衔接[xiánjiē]: to join together, to combine<br>头衔[tóuxián]: title, rank, appellation<br>军衔[jūnxián]: army rank, military rank
倦	be tired of, weary	juàn		6	Pictophonetic - Person 亻 suggests the meaning while 卷 provides the pronunciation.	疲倦[píjuàn]: to tire, tired<br>厌倦[yànjuàn]: dreary, to tire of, weary of<br>倦怠[juàndài]: worn out, exhausted, dispirited
涵	to soak, to wet, to tolerate, to be lenient, to contain	hán		6	Pictophonetic - Water 氵 suggests the meaning while 函 provides the pronunciation.	内涵[nèihán]: connotation<br>包涵[bāohán]: excuse, forgive, bear with<br>涵义[hányì]: content, meaning, connotation, implication
雀	sparrow, a freckle, lentigo	què	qiāo	6	Pictophonetic - Bird 隹 suggests the meaning while 小 provides the pronunciation.	鸦雀无声[yāquèwúshēng]: lit. crow and peacock make no sound, absolute silence, not a single voice can be heard, absolute silence<br>孔雀[kǒngquè]: peacock<br>金丝雀[jīnsīquè]: canary
旬	ten-day period, period of time	xún		5	Ideograph - a period of ten 勹 days 日	中旬[zhōngxún]: mid-period, period of the second ten days of a month<br>上旬[shàngxún]: first third of a month<br>下旬[xiàxún]: last third of the month
僵	rigid, deadlock, stiff (corpse), stock still	jiāng		6	Pictophonetic - Person 亻 suggests the meaning while 畺 provides the sound	僵硬[jiāngyìng]: stark, stiff<br>僵尸[jiāngshī]: Chinese vampire, zombie<br>僵局[jiāngjú]: impasse, deadlock
撕	to rip, to tear	sī		5	Pictophonetic - Hand 扌 suggests the meaning while 斯 provides the pronunciation.	撕破[sīpò]: to tear<br>撕碎[sīsuì]: to tear to shreds<br>撕裂[sīliè]: to rip apart, to tear, laceration, rent
肢	human limbs, animal feet	zhī		6	Pictophonetic - Flesh 月 implies the meaning while 支 provides the sound	四肢[sìzhī]: the four limbs of the body<br>截肢[jiézhī]: amputation (medicine), to amputate<br>肢体[zhītǐ]: limbs
垄	grave, mound, ridge in field	lǒng		6	Pictophonetic - Earth 土 indicates the meaning while 龙 provides the sound	垄断[lǒngduàn]: enjoy market dominance, monopolize<br>反垄断[fǎnlǒngduàn]: anti-trust legislation, anti-monopoly
夷	non-Han people, esp. to the East of China, barbarians, to wipe out, to exterminate	yí			Ideograph - person 大 armed with a bow 弓	夏威夷[xiàwēiyí]: Hawaii, US state<br>夷为平地[yíwéipíngdì]: to level, to raze to the ground<br>化险为夷[huàxiǎnwéiyí]: to turn peril into safety, to avert disaster
逸	to flee, to escape, to break loose	yì			Pictophonetic - Walk 辶 suggests the meaning while 兔 provides the pronunciation.	一劳永逸[yīláoyǒngyì]: to get something done once and for all<br>安逸[ānyì]: easy and comfortable, easy<br>逃逸[táoyì]: to escape, to run away, to abscond
茅	reeds, rushes, grass, surname Mao	máo			Pictophonetic - Grass 艹 indicates the meaning while 矛 provides the sound	初出茅庐[chūchūmáolú]: venturing from one's thatched hut for the first time, young and inexperienced, novice, greenhorn<br>名列前茅[mínglièqiánmáo]: to rank among the best<br>普利茅斯[pǔlìmáosī]: Plymouth
侨	emigrant, reside abroad, sojourn, lodge	qiáo		6	Pictophonetic - Person 亻 suggests the meaning while 乔 provides the sound	华侨[huáqiáo]: overseas Chinese<br>侨居[qiáojū]: to live far away from one's native place, to reside in a foreign country<br>侨民[qiáomín]: expatriates
舆	carriage, sedan chair, world, cart	yú		6		舆论[yúlùn]: public opinion<br>公众舆论[gōngzhòngyúlùn]: public opinion<br>舆论界[yúlùnjiè]: media, commentators
窑	kiln, coal mine pit, oven	yáo			Pictophonetic - Cave 穴 suggests the meaning while 缶 provides the pronunciation.	土窑[tǔyáo]: earthen kiln, loess cave<br>砖窑[zhuānyáo]: brick kiln
涅	blacken, black mud, slime, tatto	niè			Pictophonetic - Water 氵 suggests the meaning while 圼 provides the pronunciation.	康涅狄格[kāngnièdígé]: Connecticut, US state
蒲	type of rush, vine	pú			Pictophonetic - Grass 艹 suggests the meaning while 浦 provides the pronunciation.	蒲公英[púgōngyīng]: Dandelion<br>菖蒲[chāngpú]: Acorus calamus, sweet sedge or sweet flag
谦	modest, humble	qiān		5	Pictophonetic - Talk 讠 suggests the meaning while 兼 provides the pronunciation.	谦虚[qiānxū]: modest, self-effacing, to make modest remarks<br>谦逊[qiānxùn]: modest<br>谦卑[qiānbēi]: humble
杭	surname Hang, Hangzhou	háng			Pictophonetic - Tree 木 suggests the meaning while 亢 provides the pronunciation.	杭州[hángzhōu]: HangZhou, a city in Zhejiang province<br>苏杭[sūháng]: Suzhou and Hangzhou<br>京杭运河[jīnghángyùnhé]: the Grand canal, 1800 km from Beijing to Hangzhou, built starting from 486 BC
噢	moan, interjection for pain or sad	ō			Pictophonetic - Mouth 口 suggests the meaning while 奥 provides the pronunciation.	
弊	detriment, fraud, harm, defeat, evil	bì		6	Pictophonetic - Joined hands 廾 suggests the meaning while 敝 provides the pronunciation.	作弊[zuòbì]: to practice fraud, to cheat, to engage in corrupt practices<br>弊病[bìbìng]: malady, evil, malpractice, drawback, disadvantage<br>弊端[bìduān]: malpractice, abuse, corrupt practice
勋	medal, merit, rank	xūn			Pictophonetic - Power 力 suggests the meaning while 员 provides the pronunciation.	勋章[xūnzhāng]: medal, decoration<br>功勋[gōngxūn]: achievement, meritorious deed, contributions (for the good of society)<br>授勋[shòuxūn]: to award an honor
刮	shave, pare off, scrape, blow (of the wind)	guā		3	Pictophonetic - Knife 刂 suggests the meaning while 舌 provides the sound	刮风[guāfēng]: windy<br>刮目相看[guāmùxiāngkàn]: see someone in a new light, to treat someone with increased respect<br>刮脸[guāliǎn]: to shave one's face
郊	suburbs, waste land, open spaces	jiāo		4	Pictophonetic - Town 阝 suggests the meaning while 交 provides the sound	郊区[jiāoqū]: suburbs<br>郊外[jiāowài]: outskirts<br>城郊[chéngjiāo]: suburbs, outskirts of a city
凄	intense cold, frigid, dismal, grim, lamentable	qī		6	Pictophonetic - Ice 冫 suggests the meaning while 妻 provides the pronunciation.	凄凉[qīliáng]: desolate<br>凄惨[qīcǎn]: plaintive, mournful, miserable<br>凄切[qīqiē]: plaintive, mournful
